Block,Line,vial,start,males,females,total,propsurv,propmale,propfem,propexpsurvmale,propexpsurvfem,allele
B1,S1,16,50,15,19,34,0.68,0.441176471,0.558823529,0.6,0.76,S
B1,S1,17,50,9,18,27,0.54,0.333333333,0.666666667,0.36,0.72,S
B1,S1,18,50,11,12,23,0.46,0.47826087,0.52173913,0.44,0.48,S
B1,S1,19,50,15,9,24,0.48,0.625,0.375,0.6,0.36,S
B1,S1,20,50,13,16,29,0.58,0.448275862,0.551724138,0.52,0.64,S
B1,S2,1,50,15,15,30,0.6,0.5,0.5,0.6,0.6,S
B1,S2,2,50,8,5,13,0.26,0.615384615,0.384615385,0.32,0.2,S
B1,S2,3,50,17,12,29,0.58,0.586206897,0.413793103,0.68,0.48,S
B1,S2,4,50,9,12,21,0.42,0.428571429,0.571428571,0.36,0.48,S
B1,S2,5,50,12,14,26,0.52,0.461538462,0.538461538,0.48,0.56,S
B1,S2,6,50,14,22,36,0.72,0.388888889,0.611111111,0.56,0.88,S
B1,S2,7,50,12,9,21,0.42,0.571428571,0.428571429,0.48,0.36,S
B1,S2,8,50,7,9,16,0.32,0.4375,0.5625,0.28,0.36,S
B1,S2,9,50,22,15,37,0.74,0.594594595,0.405405405,0.88,0.6,S
B1,S2,10,50,12,13,25,0.5,0.48,0.52,0.48,0.52,S
B1,S2,11,50,15,19,34,0.68,0.441176471,0.558823529,0.6,0.76,S
B1,S2,12,50,11,9,20,0.4,0.55,0.45,0.44,0.36,S
B1,S2,13,50,1,5,6,0.12,0.166666667,0.833333333,0.04,0.2,S
B1,S2,14,50,11,5,16,0.32,0.6875,0.3125,0.44,0.2,S
B1,S2,15,50,13,19,32,0.64,0.40625,0.59375,0.52,0.76,S
B1,S2,16,50,12,15,27,0.54,0.444444444,0.555555556,0.48,0.6,S
B1,S2,17,50,12,4,16,0.32,0.75,0.25,0.48,0.16,S
B1,S2,18,50,14,16,30,0.6,0.466666667,0.533333333,0.56,0.64,S
B1,S2,19,50,21,15,36,0.72,0.583333333,0.416666667,0.84,0.6,S
B1,S2,20,50,14,14,28,0.56,0.5,0.5,0.56,0.56,S
B1,S3,1,50,4,4,8,0.16,0.5,0.5,0.16,0.16,S
B1,S3,2,50,6,4,10,0.2,0.6,0.4,0.24,0.16,S
B1,S3,3,50,2,2,4,0.08,0.5,0.5,0.08,0.08,S
B1,S3,4,50,4,6,10,0.2,0.4,0.6,0.16,0.24,S
B1,S3,5,50,4,1,5,0.1,0.8,0.2,0.16,0.04,S
B1,S3,6,50,3,0,3,0.06,1,0,0.12,0,S
B1,S3,7,50,9,6,15,0.3,0.6,0.4,0.36,0.24,S
B1,S3,8,50,5,10,15,0.3,0.333333333,0.666666667,0.2,0.4,S
B1,S3,9,50,4,2,6,0.12,0.666666667,0.333333333,0.16,0.08,S
B1,S3,10,50,9,5,14,0.28,0.642857143,0.357142857,0.36,0.2,S
B1,S3,11,50,7,1,8,0.16,0.875,0.125,0.28,0.04,S
B1,S3,12,50,9,3,12,0.24,0.75,0.25,0.36,0.12,S
B1,S3,13,50,4,7,11,0.22,0.363636364,0.636363636,0.16,0.28,S
B1,S3,14,50,9,3,12,0.24,0.75,0.25,0.36,0.12,S
B1,S3,15,50,7,6,13,0.26,0.538461538,0.461538462,0.28,0.24,S
B1,S3,16,50,3,7,10,0.2,0.3,0.7,0.12,0.28,S
B1,S3,17,50,8,5,13,0.26,0.615384615,0.384615385,0.32,0.2,S
B1,S3,18,50,6,2,8,0.16,0.75,0.25,0.24,0.08,S
B1,S3,19,50,9,5,14,0.28,0.642857143,0.357142857,0.36,0.2,S
B1,S3,20,50,7,6,13,0.26,0.538461538,0.461538462,0.28,0.24,S
B2,L1,1,50,10,19,29,0.58,0.34482759,0.65517241,0.4,0.76,L
B2,L1,2,50,11,15,26,0.52,0.42307692,0.57692308,0.44,0.6,L
B2,L1,3,50,17,14,31,0.62,0.5483871,0.4516129,0.68,0.56,L
B2,L1,4,50,14,15,29,0.58,0.48275862,0.51724138,0.56,0.6,L
