Line,Allele,chro,replicate,day,Males,Females,total
S1,S,D,S1.D.2,13,0,0,0
S1,S,D,S1.D.3,9,0,0,0
S1,S,D,S1.D.3,10,5,3,8
S1,S,D,S1.D.3,11,1,0,1
S1,S,D,S1.D.3,12,0,0,0
S1,S,D,S1.D.3,13,0,0,0
S1,S,D,S1.D.4,9,0,1,1
S1,S,D,S1.D.4,10,3,2,5
S1,S,D,S1.D.4,11,0,0,0
S1,S,D,S1.D.4,12,0,0,0
S1,S,D,S1.D.4,13,0,0,0
S1,S,D,S1.D.5,9,0,0,0
S1,S,D,S1.D.5,10,6,3,9
S1,S,D,S1.D.5,11,1,0,1
S1,S,D,S1.D.5,12,0,0,0
S1,S,D,S1.D.5,13,0,0,0
S1,S,D,S1.D.6,9,0,0,0
S1,S,D,S1.D.6,10,1,6,7
S1,S,D,S1.D.6,11,0,1,1
S1,S,D,S1.D.6,12,0,0,0
S1,S,D,S1.D.6,13,0,0,0
S1,S,D,S1.D.7,9,0,0,0
S1,S,D,S1.D.7,10,1,4,5
S1,S,D,S1.D.7,11,2,0,2
S1,S,D,S1.D.7,12,0,0,0
S1,S,D,S1.D.7,13,0,0,0
S1,S,D,S1.D.8,9,0,0,0
S1,S,D,S1.D.8,10,2,2,4
S1,S,D,S1.D.8,11,3,1,4
S1,S,D,S1.D.8,12,0,0,0
S1,S,D,S1.D.8,13,0,0,0
S1,S,D,S1.D.9,9,0,0,0
S1,S,D,S1.D.9,10,6,5,11
S1,S,D,S1.D.9,11,2,2,4
S1,S,D,S1.D.9,12,0,0,0
S1,S,D,S1.D.9,13,0,0,0
S1,S,D,S1.D.10,9,0,0,0
S1,S,D,S1.D.10,10,3,2,5
S1,S,D,S1.D.10,11,1,1,2
S1,S,D,S1.D.10,12,1,0,1
S1,S,D,S1.D.10,13,0,0,0
S1,S,D,S1.D.11,9,0,0,0
S1,S,D,S1.D.11,10,1,5,6
S1,S,D,S1.D.11,11,2,1,3
S1,S,D,S1.D.11,12,0,0,0
S1,S,D,S1.D.11,13,0,0,0
S1,S,D,S1.D.12,9,0,0,0
S1,S,D,S1.D.12,10,0,1,1
S1,S,D,S1.D.12,11,5,4,9
S1,S,D,S1.D.12,12,2,2,4
S1,S,D,S1.D.12,13,1,0,1
S1,S,D,S1.D.13,9,0,0,0
S1,S,D,S1.D.13,10,0,2,2
S1,S,D,S1.D.13,11,2,1,3
S1,S,D,S1.D.13,12,1,0,1
S1,S,D,S1.D.13,13,1,0,1
S1,S,D,S1.D.14,9,0,0,0
S1,S,D,S1.D.14,10,0,0,0
S1,S,D,S1.D.14,11,2,3,5
S1,S,D,S1.D.14,12,3,1,4
S1,S,D,S1.D.14,13,0,0,0
S1,S,D,S1.D.15,9,0,0,0
S1,S,D,S1.D.15,10,0,0,0
S1,S,D,S1.D.15,11,3,0,3
S1,S,D,S1.D.15,12,4,1,5
S1,S,D,S1.D.15,13,0,0,0
S1,S,D,S1.D.16,9,0,0,0
S1,S,D,S1.D.16,10,0,0,0
S1,S,D,S1.D.16,11,3,3,6
S1,S,D,S1.D.16,12,1,2,3
S1,S,D,S1.D.16,13,0,0,0
S1,S,D,S1.D.17,9,0,0,0
S1,S,D,S1.D.17,10,0,0,0
S1,S,D,S1.D.17,11,0,0,0
S1,S,D,S1.D.17,12,0,1,1
S1,S,D,S1.D.17,13,1,0,1
S1,S,D,S1.D.18,9,0,0,0
S1,S,D,S1.D.18,10,0,2,2
S1,S,D,S1.D.18,11,6,4,10
S1,S,D,S1.D.18,12,0,0,0
S1,S,D,S1.D.18,13,0,0,0
S1,S,D,S1.D.19,9,0,0,0
S1,S,D,S1.D.19,10,0,2,2
S1,S,D,S1.D.19,11,3,3,6
S1,S,D,S1.D.19,12,1,0,1
S1,S,D,S1.D.19,13,0,0,0
S1,S,D,S1.D.20,9,0,0,0
S1,S,D,S1.D.20,10,0,0,0
S1,S,D,S1.D.20,11,5,3,8
S1,S,D,S1.D.20,12,0,2,2
S1,S,D,S1.D.20,13,0,0,0
S1,S,D,S1.D.21,9,0,0,0
S1,S,D,S1.D.21,10,0,1,1
S1,S,D,S1.D.21,11,2,1,3
S1,S,D,S1.D.21,12,2,2,4
S1,S,D,S1.D.21,13,0,0,0
S1,S,D,S1.D.22,9,0,0,0
S1,S,D,S1.D.22,10,0,1,1
S1,S,D,S1.D.22,11,3,5,8
S1,S,D,S1.D.22,12,1,0,1
S1,S,D,S1.D.22,13,0,0,0
S2,S,D,S2.D.1,9,0,3,3
S2,S,D,S2.D.1,10,3,2,5
S2,S,D,S2.D.1,11,0,0,0
S2,S,D,S2.D.1,12,0,0,0
S2,S,D,S2.D.1,13,0,0,0
S2,S,D,S2.D.2,9,0,1,1
S2,S,D,S2.D.2,10,6,7,13
S2,S,D,S2.D.2,11,0,0,0
S2,S,D,S2.D.2,12,1,0,1
S2,S,D,S2.D.2,13,0,0,0
S2,S,D,S2.D.3,9,0,4,4
S2,S,D,S2.D.3,10,3,1,4
S2,S,D,S2.D.3,11,0,0,0
S2,S,D,S2.D.3,12,0,0,0
S2,S,D,S2.D.3,13,0,0,0
S2,S,D,S2.D.4,9,0,0,0
S2,S,D,S2.D.4,10,2,3,5
S2,S,D,S2.D.4,11,2,2,4
S2,S,D,S2.D.4,12,0,0,0
S2,S,D,S2.D.4,13,0,0,0
S2,S,D,S2.D.5,9,0,0,0
S2,S,D,S2.D.5,10,0,0,0
S2,S,D,S2.D.5,11,8,4,12
S2,S,D,S2.D.5,12,0,0,0
S2,S,D,S2.D.5,13,0,0,0
S2,S,D,S2.D.6,9,0,0,0
S2,S,D,S2.D.6,10,1,7,8
S2,S,D,S2.D.6,11,0,1,1
S2,S,D,S2.D.6,12,0,0,0
S2,S,D,S2.D.6,13,0,0,0
S2,S,D,S2.D.7,9,0,0,0
S2,S,D,S2.D.7,10,2,0,2
S2,S,D,S2.D.7,11,5,5,10
S2,S,D,S2.D.7,12,0,1,1
S2,S,D,S2.D.7,13,0,0,0
S2,S,D,S2.D.8,9,0,0,0
S2,S,D,S2.D.8,10,1,5,6
S2,S,D,S2.D.8,11,5,0,5
S2,S,D,S2.D.8,12,0,0,0
S2,S,D,S2.D.8,13,0,0,0
S2,S,D,S2.D.9,9,0,0,0
S2,S,D,S2.D.9,10,7,4,11
S2,S,D,S2.D.9,11,2,0,2
S2,S,D,S2.D.9,12,0,0,0
S2,S,D,S2.D.9,13,0,0,0
S2,S,D,S2.D.10,9,0,0,0
S2,S,D,S2.D.10,10,2,3,5
S2,S,D,S2.D.10,11,3,5,8
S2,S,D,S2.D.10,12,0,0,0
S2,S,D,S2.D.10,13,0,0,0
S3,S,D,S3.D.1,9,0,0,0
S3,S,D,S3.D.1,10,6,3,9
S3,S,D,S3.D.1,11,0,0,0
S3,S,D,S3.D.1,12,0,0,0
S3,S,D,S3.D.1,13,0,0,0
S3,S,D,S3.D.2,9,0,2,2
S3,S,D,S3.D.2,10,6,6,12
S3,S,D,S3.D.2,11,0,0,0
S3,S,D,S3.D.2,12,0,0,0
S3,S,D,S3.D.2,13,0,0,0
S3,S,D,S3.D.3,9,1,2,3
S3,S,D,S3.D.3,10,2,0,2
S3,S,D,S3.D.3,11,1,0,1
S3,S,D,S3.D.3,12,0,0,0
S3,S,D,S3.D.3,13,0,0,0
S3,S,D,S3.D.4,9,0,0,0
S3,S,D,S3.D.4,10,9,4,13
S3,S,D,S3.D.4,11,1,1,2
S3,S,D,S3.D.4,12,0,0,0
S3,S,D,S3.D.4,13,0,0,0
S3,S,D,S3.D.5,9,0,0,0
S3,S,D,S3.D.5,10,0,0,0
S3,S,D,S3.D.5,11,0,0,0
S3,S,D,S3.D.5,12,3,3,6
S3,S,D,S3.D.5,13,4,1,5
S3,S,D,S3.D.6,9,0,0,0
S3,S,D,S3.D.6,10,2,6,8
S3,S,D,S3.D.6,11,8,1,9
S3,S,D,S3.D.6,12,0,0,0
S3,S,D,S3.D.6,13,0,0,0
S3,S,D,S3.D.7,9,0,0,0
S3,S,D,S3.D.7,10,0,1,1
S3,S,D,S3.D.7,11,3,4,7
S3,S,D,S3.D.7,12,1,1,2
S3,S,D,S3.D.7,13,0,0,0
S3,S,D,S3.D.8,9,0,0,0
S3,S,D,S3.D.8,10,0,0,0
S3,S,D,S3.D.8,11,2,1,3
S3,S,D,S3.D.8,12,0,0,0
S3,S,D,S3.D.8,13,0,0,0
