/Users/michaeljardine/.densitycount/models/pv20_1527600777_firsttestmodel_,Filename: ,Frame number: ,Predicted count: ,Corrected count: ,CI 
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-045.png,1,14.9602306,16.6081442,0.599606695
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-046.png,1,11.21662102,12.2071949,0.63535359
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-047.png,1,23.62059382,26.78917901,0.531826917
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-048.png,1,18.25846494,20.48551491,0.571081489
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-049.png,1,40.41156355,46.52847201,0.485130527
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-050.png,1,9.926785561,10.69087748,0.648399394
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-051.png,1,21.04101496,23.75665237,0.549516022
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-052.png,1,26.05399181,29.64985691,0.51738232
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-053.png,1,22.64924177,25.64726743,0.538212487
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-054.png,1,29.34765658,33.52185566,0.501635349
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-055.png,1,18.40408478,20.65670411,0.569893361
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-056.png,1,18.19954958,20.41625461,0.571563981
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-057.png,1,37.10426874,42.64044992,0.483885649
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-058.png,1,30.95416195,35.41044701,0.495656536
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-059.png,1,38.73125029,44.55311286,0.483829902
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-060.png,1,25.65407838,29.17972274,0.519598488
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-061.png,1,39.18111665,45.08197117,0.484043078
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-062.png,1,14.3569299,15.89891004,0.605139569
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-063.png,1,42.0854899,48.49632279,0.487787524
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-064.png,1,19.1119406,21.4888522,0.564209031
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-065.png,1,20.45980827,23.0733917,0.553816411
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-066.png,1,13.13558297,14.46310703,0.616616536
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-067.png,1,20.59597445,23.23346728,0.552798929
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-068.png,1,21.30462002,24.0665438,0.547602609
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-069.png,1,25.58806963,29.10212354,0.519970378
