/Users/michaeljardine/.densitycount/models/pv20_1527600777_firsttestmodel_,Filename: ,Frame number: ,Predicted count: ,Corrected count: ,CI 
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-041.png,1,50.842651235889186,58.791152468063984,0.52258137248046665
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-042.png,1,16.69582439269626,18.648490591744881,0.58422028053749386
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-043.png,1,13.005155469781078,14.30977779273829,0.61786334686269839
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-044.png,1,23.993880727663768,27.228011293749166,0.5294647350417101
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-045.png,1,14.960230596216661,16.608144200361039,0.59960669513603904
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-046.png,1,11.216621016631802,12.207194904535571,0.63535359032307781
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-047.png,1,23.620593824207742,26.789179011701247,0.53182691747401378
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-048.png,1,18.25846494147445,20.485514906533691,0.57108148908899636
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-049.png,1,40.411563545594916,46.528472012377946,0.48513052720597472
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-050.png,1,9.9267855612274563,10.69087747919605,0.64839939432894411
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-051.png,1,21.041014959238499,23.756652369173644,0.54951602156824464
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-052.png,1,26.053991814117055,29.649856906254048,0.51738232013835983
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-053.png,1,22.649241773276913,25.647267433139493,0.53821248690624302
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-054.png,1,29.347656578955942,33.521855660224084,0.50163534882222649
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-055.png,1,18.404084783679028,20.656704109997456,0.56989336052664896
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-056.png,1,18.199549583946631,20.416254612233953,0.57156398054796753
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-057.png,1,37.104268738825105,42.640449919925963,0.48388564912010423
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-058.png,1,30.954161948480763,35.410447011551412,0.49565653603097104
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-059.png,1,38.731250291223773,44.55311286330479,0.48382990203329967
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-060.png,1,25.654078377108092,29.17972274253313,0.51959848810712117
Tue May 29 15:00:20 2018,/Users/michaeljardine/Desktop/Agar photos/Round 1/M/M-061.png,1,39.181116647485496,45.081971170165183,0.48404307787072298
