Predicted count: ,Corrected count: ,CI ,line,genotype,allele,block
3.071889131,3.106282779,0.427464416,L1,B,M,1
13.18761815,13.18804676,0.429698977,L1,B,M,1
13.73748751,13.73606986,0.429820622,L1,B,M,1
11.27130256,11.27816548,0.429275181,L2,B,M,1
18.65261968,18.63469875,0.430908796,L2,B,M,1
28.47480679,28.42390643,0.433087719,L2,B,M,1
45.64643095,45.53787435,0.436910768,L2,B,M,1
26.72310632,26.67808755,0.432698704,L2,B,M,1
10.04467011,10.05565163,0.429004028,L2,B,M,1
21.88691269,21.85813215,0.431625641,L2,B,M,1
15.95787712,15.94900418,0.430312018,L2,B,M,1
16.53011693,16.51932261,0.43043871,L2,B,M,1
18.51224453,18.49479493,0.430877697,L2,B,M,1
20.92977096,20.90420416,0.431413436,L2,B,M,1
22.93715152,22.90484465,0.431858551,L3,B,M,1
8.645617261,8.661296303,0.428694873,L3,B,M,1
8.876340575,8.891244929,0.428745849,L3,B,M,1
3.505386141,3.53832426,0.427560046,L3,B,M,1
9.035370196,9.049740586,0.428780986,L3,B,M,1
13.02289224,13.02387394,0.429662539,L3,B,M,1
11.5372712,11.54324109,0.429333987,S1,B,F,1
19.38480764,19.36442828,0.431071022,S1,B,F,1
16.18852949,16.1788821,0.430363081,S1,B,F,1
14.34132062,14.33787551,0.429954227,S1,B,F,1
3.261241683,3.294999553,0.427506186,S1,B,F,1
13.36435452,13.36418972,0.429738073,S1,B,F,1
18.96535828,18.94638728,0.430978083,S1,B,F,1
7.225473039,7.245920423,0.42838118,S1,B,F,1
19.91439158,19.89223407,0.431188378,S1,B,F,1
15.28697285,15.28035257,0.430163508,S2,B,F,1
32.27487558,32.21121594,0.43393226,S2,B,F,1
20.43797527,20.41405975,0.431304422,S3,B,F,1
26.92399728,26.87830399,0.432743308,L1,D,M,1
24.46012894,24.42270845,0.432196416,L1,D,M,1
28.89439027,28.8420811,0.433180926,L1,D,M,1
11.54089326,11.54685099,0.429334788,L1,D,M,1
8.327465723,8.344213006,0.428624586,L1,D,M,1
18.98575965,18.96672015,0.430982603,L1,D,M,1
13.66535388,13.66417843,0.429804663,L1,D,M,1
14.13916117,14.13639483,0.429909495,L1,D,M,1
4.091073668,4.122045255,0.427689268,L1,D,M,1
17.10087708,17.08816635,0.430565093,L1,D,M,1
36.20501201,36.12815636,0.434806608,L1,D,M,1
7.920946672,7.939058901,0.428534786,L1,D,M,1
3.868855198,3.900572916,0.427640237,L1,D,M,1
9.966167424,9.977412526,0.428986678,L1,D,M,1
19.1564695,19.13685682,0.431020427,L2,D,M,1
7.270891427,7.291186311,0.42839121,L2,D,M,1
24.60642058,24.56850889,0.432228877,L2,D,M,1
13.53463511,13.53389856,0.429775744,L2,D,M,1
19.33712059,19.31690134,0.431060455,L2,D,M,1
28.06501713,28.0154927,0.432996697,L2,D,M,1
20.0271254,20.00458937,0.431213363,L2,D,M,1
20.90859209,20.8830964,0.431408741,L2,D,M,1
16.68322148,16.67191309,0.43047261,L2,D,M,1
29.57098376,29.51640283,0.433331249,L2,D,M,1
14.48677259,14.4828391,0.429986414,L2,D,M,1
33.49411477,33.42636135,0.43420341,L2,D,M,1
20.42013576,20.39628014,0.431300468,L2,D,M,1
20.99026453,20.96449461,0.431426846,L3,D,M,1
6.694461639,6.716691971,0.428263918,L3,D,M,1
13.08942791,13.0901862,0.429677256,L3,D,M,1
6.289249289,6.31284018,0.428174447,L3,D,M,1
15.25314084,15.24663415,0.43015602,L3,D,M,1
18.91220409,18.89341157,0.430966306,S1,D,F,1
24.68874383,24.65055573,0.432247145,S1,D,F,1
22.37310693,22.34269392,0.431733455,S1,D,F,1
5.747638583,5.773048011,0.428054876,S1,D,F,1
16.93688016,16.92472007,0.430528777,S1,D,F,1
34.19629917,34.12618806,0.43435961,S1,D,F,1
26.94881474,26.90303812,0.432748818,S1,D,F,1
16.44520004,16.43469084,0.430419908,S1,D,F,1
8.559514317,8.575482463,0.42867585,S2,D,F,1
17.46401659,17.45008657,0.430645514,S2,D,F,1
3.426672793,3.459875203,0.427542681,S2,D,F,1
11.00874046,11.01648498,0.429217133,S2,D,F,1
12.21306633,12.21676715,0.429483425,S2,D,F,1
24.85001795,24.81128835,0.432282933,S2,D,F,1
26.27785261,26.23432884,0.432599851,S2,D,F,1
13.82115505,13.81945647,0.429839133,S3,D,F,1
22.15246572,21.37792427,0.526443526,L1,B,M,2
2.535905033,2.387612464,0.478811987,L1,B,M,2
20.32079052,19.60472438,0.521932092,L1,B,M,2
12.76455786,12.28972067,0.503453258,L1,B,M,2
6.904557212,6.616797608,0.489280286,L1,B,M,2
25.52868137,24.64635593,0.534790032,L1,B,M,2
19.6825539,18.98686314,0.520362952,L1,B,M,2
12.56086406,12.09252969,0.502958207,L1,B,M,2
24.61603136,23.7628418,0.532529959,L1,B,M,2
9.517715288,9.146531921,0.495582537,L1,B,M,2
28.37744175,27.40417105,0.541862564,L1,B,M,2
7.123049835,6.828314964,0.489806097,L1,B,M,2
2.089537295,1.955494793,0.477747338,L1,B,M,2
2.427665862,2.282828775,0.478553735,L1,B,M,2
16.92257402,16.31499425,0.513594725,L1,B,M,2
25.51581564,24.63390093,0.534758152,L1,B,M,2
13.62900204,13.1265679,0.505556035,L1,B,M,2
20.58469001,19.86019901,0.522581336,L1,B,M,2
2.657527494,2.505352189,0.479102236,L1,B,M,2
12.42175519,11.9578618,0.502620218,L1,B,M,2
29.16067467,28.16239965,0.543811727,L1,B,M,2
3.372020367,3.197035234,0.480808751,L1,B,M,2
11.95719069,11.50812829,0.501492048,L1,B,M,2
32.40963633,31.30763984,0.551917904,L2,B,M,2
7.769754978,7.454374369,0.491363643,L2,B,M,2
11.05572679,10.63544318,0.499305414,L2,B,M,2
21.75856394,20.9965976,0.525472331,L2,B,M,2
24.59375257,23.74127426,0.532474823,L2,B,M,2
8.839126938,8.489607164,0.493943134,L2,B,M,2
16.8691086,16.26323568,0.513463896,L2,B,M,2
29.77294691,28.75512541,0.545336806,L2,B,M,2
19.69106236,18.99509997,0.520383861,L2,B,M,2
6.972085843,6.682170421,0.489442774,L2,B,M,2
1.229075029,1.122502354,0.475697682,L2,B,M,2
37.73790581,36.46580698,0.565281425,L2,B,M,2
22.21787118,21.44124169,0.526604841,L2,B,M,2
11.22825795,10.80246637,0.499723655,L2,B,M,2
21.8186372,21.05475306,0.52562041,L2,B,M,2
36.60105099,35.36524568,0.562423144,L2,B,M,2
23.91887222,23.08793913,0.530805439,L2,B,M,2
10.22152551,9.827873352,0.497284935,L2,B,M,2
24.28118577,23.43868599,0.531701463,L2,B,M,2
3.96986673,3.775795652,0.482238485,L2,B,M,2
7.862370716,7.544033395,0.491586851,L2,B,M,2
2.41704639,2.272548323,0.478528401,L2,B,M,2
2.462462074,2.316514135,0.478636751,L2,B,M,2
9.750381231,9.37177012,0.496145085,L2,B,M,2
22.38151044,21.59965685,0.527008506,L3,B,M,2
7.508938206,7.201884042,0.490735263,L3,B,M,2
15.95225936,15.37565639,0.511222079,L3,B,M,2
8.512745087,8.17364489,0.493155328,L3,B,M,2
8.716989007,8.371368426,0.493648269,L3,B,M,2
5.016740728,4.789248721,0.484746008,L3,B,M,2
11.95178365,11.50289387,0.501478922,L3,B,M,2
31.91877781,30.83245173,0.550691097,L3,B,M,2
3.195009455,3.025675307,0.480385751,L3,B,M,2
32.12447254,31.03157976,0.551205102,L3,B,M,2
18.55969336,17.89984937,0.517605964,L3,B,M,2
6.453764015,6.180395758,0.4881961,L3,B,M,2
10.13019536,9.739458877,0.497063905,L3,B,M,2
8.80385698,8.455463181,0.493857979,L3,B,M,2
24.20928673,23.3690823,0.531523617,L3,B,M,2
