"","FSS.5.100","FSS.4.100","FSS.3.100","FSS.2.100","FSS.1.100"
"138",0.5,0.39,0.25,0.18,0.13
"139",0.55,0.37,0.27,0.21,0.1
"140",0.53,0.49,0.16,0.19,0.07
"141",0.52,0.49,0.34,0.22,0.12
"142",0.43,0.47,0.26,0.14,0.01
"143",0.55,0.29,0.3,0.21,0.11
"144",0.54,0.29,0.37,0.17,0.15
"145",0.55,0.51,0.34,0.2,0.14
"146",0.53,0.39,0.29,0.34,0.06
"147",0.6,0.5,0.36,0.37,0.06
"148",0.34,0.54,0.33,0.21,0.22
"149",0.47,0.41,0.43,0.23,0.1
"150",0.62,0.45,0.18,0.13,0.13
"151",0.55,0.37,0.49,0.13,0.16
"152",0.59,0.49,0.19,0.12,0.06
"153",0.32,0.49,0.22,0.11,0.06
"154",0.41,0.41,0.18,0.24,0.13
"155",0.53,0.43,0.37,0.28,0.05
"156",0.4,0.61,0.21,0.21,0.05
"157",0.59,0.38,0.3,0.13,0.14
"158",0.48,0.42,0.29,0.15,0.11
"159",0.51,0.27,0.36,0.25,0.05
"160",0.45,0.3,0.35,0.24,0.08
"161",0.51,0.39,0.2,0.22,0.07
"162",0.42,0.33,0.29,0.2,0.08
"163",0.66,0.44,0.28,0.24,0.17
"164",0.43,0.34,0.27,0.14,0.08
"165",0.44,0.49,0.2,0.17,0.15
"166",0.41,0.33,0.45,0.23,0.14
"167",0.54,0.47,0.34,0.22,0.16
"168",0.44,0.44,0.28,0.14,0.06
"169",0.59,0.39,0.36,0.27,0.05
"170",0.45,0.43,0.21,0.21,0.18
"171",0.34,0.34,0.18,0.21,0.1
"172",0.62,0.41,0.37,0.21,0.05
"173",0.35,0.45,0.46,0.23,0.14
"174",0.45,0.36,0.36,0.25,0.14
"175",0.43,0.41,0.35,0.29,0.05
"176",0.5,0.41,0.3,0.16,0.15
"177",0.56,0.46,0.38,0.16,0.1
"178",0.55,0.29,0.32,0.21,0.09
"179",0.46,0.39,0.33,0.24,0.07
"180",0.44,0.4,0.29,0.27,0.09
"181",0.58,0.42,0.33,0.18,0.1
"182",0.56,0.41,0.3,0.11,0.08
"183",0.52,0.41,0.31,0.1,0.11
"184",0.49,0.49,0.35,0.23,0.09
"185",0.63,0.4,0.3,0.25,0.15
"186",0.45,0.35,0.34,0.16,0.08
"187",0.45,0.5,0.3,0.14,0.13
"188",0.62,0.29,0.31,0.2,0.19
"189",0.49,0.36,0.28,0.19,0.07
"190",0.53,0.36,0.48,0.36,0.13
"191",0.41,0.5,0.35,0.25,0.06
"192",0.42,0.5,0.34,0.17,0.08
"193",0.5,0.46,0.16,0.2,0.05
"194",0.53,0.49,0.3,0.19,0.1
"195",0.63,0.49,0.27,0.17,0.09
"196",0.55,0.3,0.24,0.17,0.11
"197",0.32,0.25,0.15,0.25,0.02
"198",0.5,0.35,0.26,0.22,0.18
"199",0.36,0.33,0.35,0.23,0.12
"200",0.4,0.38,0.21,0.2,0.11
"201",0.56,0.47,0.32,0.18,0.03
"202",0.49,0.48,0.41,0.17,0.07
"203",0.49,0.37,0.34,0.26,0.08
"204",0.54,0.39,0.23,0.21,0.1
"205",0.49,0.48,0.25,0.21,0.16
"206",0.48,0.45,0.2,0.25,0.14
"207",0.48,0.31,0.36,0.15,0.11
"208",0.62,0.43,0.23,0.12,0.07
"209",0.63,0.43,0.33,0.17,0.11
"210",0.49,0.37,0.38,0.23,0.11
"211",0.49,0.26,0.24,0.23,0.13
"212",0.47,0.32,0.37,0.16,0.16
"213",0.62,0.33,0.22,0.26,0.13
"214",0.41,0.48,0.35,0.17,0.06
"215",0.63,0.27,0.31,0.16,0.13
"216",0.53,0.36,0.34,0.25,0.15
"217",0.55,0.29,0.18,0.27,0.11
"218",0.51,0.34,0.28,0.16,0.13
"219",0.5,0.34,0.31,0.16,0.07
"220",0.43,0.34,0.25,0.17,0.11
"221",0.6,0.4,0.3,0.19,0.09
"222",0.39,0.51,0.33,0.16,0.09
"223",0.59,0.43,0.34,0.09,0.15
"224",0.54,0.43,0.29,0.18,0.17
"225",0.54,0.45,0.31,0.21,0.06
"226",0.44,0.51,0.29,0.16,0.16
"227",0.54,0.27,0.22,0.18,0.09
"228",0.54,0.36,0.36,0.25,0.07
"229",0.66,0.39,0.22,0.23,0.17
"230",0.48,0.39,0.14,0.15,0.17
"231",0.42,0.42,0.25,0.19,0.09
"232",0.6,0.38,0.24,0.25,0.1
"233",0.41,0.31,0.29,0.27,0.15
"234",0.53,0.33,0.3,0.15,0.11
"235",0.52,0.36,0.35,0.15,0.19
"236",0.57,0.33,0.43,0.13,0.26
"237",0.47,0.43,0.33,0.25,0.07
"238",0.64,0.37,0.26,0.25,0.06
"239",0.46,0.32,0.28,0.2,0.09
"240",0.4,0.4,0.32,0.19,0.16
"241",0.5,0.45,0.24,0.19,0.11
"242",0.45,0.42,0.33,0.21,0.14
"243",0.44,0.32,0.26,0.2,0.11
"244",0.59,0.49,0.22,0.17,0.06
"245",0.56,0.45,0.29,0.09,0.11
"246",0.39,0.46,0.4,0.22,0.07
"247",0.49,0.46,0.25,0.31,0.11
"248",0.39,0.35,0.32,0.22,0.13
"249",0.44,0.43,0.37,0.22,0.19
"250",0.47,0.37,0.28,0.14,0.1
"251",0.45,0.34,0.19,0.19,0.12
"252",0.49,0.38,0.17,0.17,0.13
"253",0.42,0.37,0.31,0.14,0.07
"254",0.5,0.34,0.33,0.14,0.08
"255",0.52,0.37,0.24,0.17,0.04
"256",0.47,0.41,0.35,0.16,0.14
"257",0.55,0.41,0.34,0.17,0.15
"258",0.46,0.41,0.34,0.29,0.09
"259",0.5,0.53,0.34,0.16,0.16
"260",0.45,0.34,0.4,0.19,0.07
"261",0.42,0.37,0.33,0.19,0.13
"262",0.53,0.34,0.3,0.18,0.15
"263",0.39,0.4,0.26,0.33,0.01
"264",0.45,0.31,0.36,0.22,0.04
"265",0.53,0.48,0.31,0.31,0.06
"266",0.45,0.24,0.4,0.3,0.1
"267",0.53,0.4,0.35,0.26,0.13
"268",0.55,0.42,0.45,0.29,0.09
"269",0.5,0.33,0.25,0.24,0.18
"270",0.58,0.31,0.39,0.3,0.02
"271",0.56,0.33,0.4,0.22,0.05
"272",0.43,0.48,0.34,0.09,0.07
"273",0.36,0.39,0.29,0.29,0.16
"274",0.48,0.42,0.24,0.18,0.12
"275",0.42,0.49,0.29,0.15,0.11
"276",0.6,0.38,0.31,0.17,0.14
"277",0.51,0.41,0.34,0.26,0.13
"278",0.43,0.47,0.32,0.17,0.12
"279",0.57,0.48,0.16,0.3,0.14
"280",0.52,0.25,0.33,0.26,0.11
"281",0.4,0.26,0.26,0.22,0.12
"282",0.55,0.28,0.34,0.17,0.12
"283",0.47,0.55,0.35,0.19,0.07
"284",0.48,0.48,0.21,0.23,0.1
"285",0.49,0.43,0.28,0.15,0.07
"286",0.51,0.43,0.36,0.19,0.09
"287",0.42,0.46,0.39,0.18,0.11
"288",0.57,0.47,0.31,0.21,0.07
"289",0.46,0.28,0.43,0.34,0.13
"290",0.42,0.4,0.26,0.27,0.11
"291",0.43,0.44,0.38,0.22,0.11
"292",0.39,0.32,0.32,0.27,0.07
"293",0.65,0.31,0.27,0.28,0.13
"294",0.44,0.38,0.26,0.11,0.08
"295",0.54,0.33,0.39,0.18,0.08
"296",0.56,0.2,0.36,0.24,0.12
"297",0.48,0.31,0.28,0.09,0.2
"298",0.52,0.29,0.22,0.19,0.12
"299",0.49,0.46,0.42,0.24,0.12
"300",0.55,0.42,0.25,0.22,0.1
"301",0.53,0.34,0.23,0.18,0.12
"302",0.57,0.41,0.22,0.22,0
"303",0.49,0.42,0.29,0.22,0.07
"304",0.41,0.34,0.4,0.2,0.06
"305",0.5,0.38,0.37,0.23,0.09
"306",0.39,0.39,0.35,0.17,0.08
"307",0.39,0.47,0.23,0.14,0.06
"308",0.4,0.51,0.28,0.27,0.14
"309",0.5,0.37,0.34,0.23,0.04
"310",0.48,0.39,0.27,0.11,0.11
"311",0.59,0.5,0.15,0.26,0.1
"312",0.61,0.37,0.31,0.16,0.05
"313",0.46,0.38,0.37,0.13,0.02
"314",0.48,0.44,0.33,0.23,0.1
"315",0.49,0.37,0.39,0.21,0.14
"316",0.39,0.26,0.28,0.22,0.14
"317",0.47,0.42,0.44,0.19,0.07
"318",0.58,0.35,0.27,0.13,0.15
"319",0.54,0.46,0.33,0.1,0.11
"320",0.43,0.4,0.35,0.25,0.07
"321",0.56,0.33,0.32,0.22,0.09
"322",0.43,0.32,0.26,0.1,0.05
"323",0.6,0.49,0.31,0.29,0.15
"324",0.53,0.43,0.32,0.14,0.1
"325",0.51,0.35,0.22,0.24,0.13
"326",0.44,0.44,0.31,0.24,0.07
"327",0.47,0.38,0.37,0.07,0.13
"328",0.55,0.5,0.32,0.31,0.08
"329",0.5,0.38,0.35,0.12,0.1
"330",0.56,0.4,0.35,0.23,0.09
"331",0.51,0.42,0.31,0.21,0.07
"332",0.46,0.31,0.26,0.15,0.11
"333",0.55,0.39,0.2,0.22,0.05
"334",0.39,0.37,0.24,0.21,0.11
"335",0.49,0.36,0.27,0.12,0.12
"336",0.43,0.38,0.41,0.1,0.14
"337",0.44,0.34,0.41,0.17,0.05
"338",0.59,0.38,0.41,0.22,0.11
"339",0.45,0.43,0.29,0.14,0.16
"340",0.64,0.35,0.28,0.15,0.08
"341",0.51,0.36,0.34,0.23,0.14
"342",0.32,0.46,0.38,0.21,0.09
"343",0.62,0.51,0.39,0.27,0.14
"344",0.32,0.41,0.26,0.13,0.09
"345",0.61,0.48,0.3,0.12,0.05
"346",0.48,0.37,0.22,0.2,0.11
"347",0.47,0.43,0.29,0.15,0.1
"348",0.47,0.37,0.27,0.11,0.11
"349",0.51,0.32,0.36,0.29,0.12
"350",0.53,0.35,0.18,0.21,0.03
"351",0.37,0.45,0.43,0.35,0.06
"352",0.34,0.44,0.32,0.19,0.06
"353",0.49,0.43,0.2,0.18,0.01
"354",0.45,0.46,0.24,0.07,0.22
"355",0.45,0.43,0.38,0.24,0.08
"356",0.6,0.47,0.19,0.28,0.17
"357",0.49,0.32,0.25,0.15,0.12
"358",0.41,0.33,0.29,0.24,0.2
"359",0.6,0.42,0.34,0.13,0.08
"360",0.5,0.42,0.21,0.31,0.09
"361",0.41,0.44,0.32,0.17,0.04
"362",0.46,0.34,0.13,0.18,0.05
"363",0.49,0.35,0.16,0.18,0.09
"364",0.59,0.34,0.27,0.25,0.15
"365",0.32,0.41,0.35,0.2,0.03
"366",0.56,0.45,0.31,0.21,0.11
"367",0.47,0.3,0.28,0.25,0.14
"368",0.51,0.35,0.34,0.3,0.06
"369",0.54,0.52,0.32,0.13,0.11
"370",0.59,0.43,0.29,0.21,0.06
"371",0.45,0.53,0.39,0.14,0.08
"372",0.52,0.33,0.31,0.19,0.16
"373",0.46,0.34,0.35,0.15,0.16
"374",0.47,0.46,0.3,0.19,0.07
"375",0.56,0.25,0.28,0.2,0.06
"376",0.49,0.39,0.32,0.19,0.09
"377",0.49,0.33,0.26,0.21,0.13
"378",0.54,0.49,0.27,0.27,0.14
"379",0.42,0.42,0.28,0.19,0.04
"380",0.59,0.34,0.3,0.18,0.1
"381",0.53,0.32,0.28,0.18,0.06
"382",0.53,0.41,0.29,0.16,0.11
"383",0.64,0.37,0.37,0.23,0.11
"384",0.61,0.42,0.32,0.24,0.09
"385",0.46,0.37,0.29,0.14,0.19
"386",0.49,0.39,0.23,0.18,0.05
"387",0.53,0.46,0.31,0.39,0.05
"388",0.51,0.47,0.27,0.16,0.08
"389",0.46,0.3,0.42,0.09,0.14
"390",0.53,0.39,0.38,0.25,0.14
"391",0.44,0.31,0.24,0.32,0.13
"392",0.56,0.41,0.35,0.09,0.04
"393",0.5,0.32,0.44,0.21,0.15
"394",0.47,0.43,0.21,0.15,0.16
"395",0.71,0.41,0.31,0.23,0.19
"396",0.49,0.45,0.3,0.2,0.14
"397",0.5,0.51,0.3,0.27,0.17
"398",0.47,0.38,0.31,0.23,0.11
"399",0.54,0.43,0.4,0.13,0.07
"400",0.59,0.35,0.29,0.32,0.16
"401",0.55,0.39,0.38,0.26,0.07
"402",0.56,0.39,0.27,0.15,0.09
"403",0.46,0.33,0.37,0.15,0.06
"404",0.41,0.36,0.28,0.22,0.1
"405",0.55,0.42,0.29,0.19,0.1
"406",0.53,0.4,0.29,0.2,0.02
