"day"	"event"	"line"	"censor"	"sex"	"chro"	"allele"
"118"	49	3	"L2"	0	"M"	"B"	"L"
"119"	52	2	"L2"	0	"M"	"B"	"L"
"120"	52	2	"L2"	0	"M"	"B"	"L"
"121"	54	3	"L2"	0	"M"	"B"	"L"
"122"	54	3	"L2"	0	"M"	"B"	"L"
"123"	54	3	"L2"	0	"M"	"B"	"L"
"124"	56	1	"L2"	0	"M"	"B"	"L"
"125"	59	3	"L2"	0	"M"	"B"	"L"
"126"	59	3	"L2"	0	"M"	"B"	"L"
"127"	59	3	"L2"	0	"M"	"B"	"L"
"128"	61	2	"L2"	0	"M"	"B"	"L"
"129"	61	2	"L2"	0	"M"	"B"	"L"
"130"	63	3	"L2"	0	"M"	"B"	"L"
"131"	63	3	"L2"	0	"M"	"B"	"L"
"132"	63	3	"L2"	0	"M"	"B"	"L"
"133"	66	1	"L2"	0	"M"	"B"	"L"
"134"	73	4	"L2"	0	"M"	"B"	"L"
"135"	73	4	"L2"	0	"M"	"B"	"L"
"136"	73	4	"L2"	0	"M"	"B"	"L"
"137"	73	4	"L2"	0	"M"	"B"	"L"
"138"	75	1	"L2"	0	"M"	"B"	"L"
"139"	80	1	"L2"	0	"M"	"B"	"L"
"140"	5	8	"L2"	0	"M"	"B"	"L"
"141"	5	8	"L2"	0	"M"	"B"	"L"
"142"	5	8	"L2"	0	"M"	"B"	"L"
"143"	5	8	"L2"	0	"M"	"B"	"L"
"144"	5	8	"L2"	0	"M"	"B"	"L"
"145"	5	8	"L2"	0	"M"	"B"	"L"
"146"	5	8	"L2"	0	"M"	"B"	"L"
"147"	5	8	"L2"	0	"M"	"B"	"L"
"148"	7	2	"L2"	0	"M"	"B"	"L"
"149"	7	2	"L2"	0	"M"	"B"	"L"
"150"	10	1	"L2"	0	"M"	"B"	"L"
"151"	12	1	"L2"	0	"M"	"B"	"L"
"152"	14	1	"L2"	0	"M"	"B"	"L"
"153"	24	1	"L2"	0	"M"	"B"	"L"
"154"	26	1	"L2"	0	"M"	"B"	"L"
"155"	38	1	"L2"	0	"M"	"B"	"L"
"156"	3	3	"L3"	0	"M"	"B"	"L"
"157"	3	3	"L3"	0	"M"	"B"	"L"
"158"	3	3	"L3"	0	"M"	"B"	"L"
"159"	10	3	"L3"	0	"M"	"B"	"L"
"160"	10	3	"L3"	0	"M"	"B"	"L"
"161"	10	3	"L3"	0	"M"	"B"	"L"
"162"	17	1	"L3"	0	"M"	"B"	"L"
"163"	21	1	"L3"	0	"M"	"B"	"L"
"164"	24	2	"L3"	0	"M"	"B"	"L"
"165"	24	2	"L3"	0	"M"	"B"	"L"
"166"	31	1	"L3"	0	"M"	"B"	"L"
"167"	33	1	"L3"	0	"M"	"B"	"L"
"168"	35	2	"L3"	0	"M"	"B"	"L"
"169"	35	2	"L3"	0	"M"	"B"	"L"
"170"	38	4	"L3"	0	"M"	"B"	"L"
"171"	38	4	"L3"	0	"M"	"B"	"L"
"172"	38	4	"L3"	0	"M"	"B"	"L"
"173"	38	4	"L3"	0	"M"	"B"	"L"
"174"	45	3	"L3"	0	"M"	"B"	"L"
"175"	45	3	"L3"	0	"M"	"B"	"L"
"176"	45	3	"L3"	0	"M"	"B"	"L"
"177"	52	2	"L3"	0	"M"	"B"	"L"
"178"	52	2	"L3"	0	"M"	"B"	"L"
"179"	54	2	"L3"	0	"M"	"B"	"L"
"180"	54	2	"L3"	0	"M"	"B"	"L"
"181"	56	1	"L3"	0	"M"	"B"	"L"
"182"	59	2	"L3"	0	"M"	"B"	"L"
"183"	59	2	"L3"	0	"M"	"B"	"L"
"184"	61	2	"L3"	0	"M"	"B"	"L"
"185"	61	2	"L3"	0	"M"	"B"	"L"
"186"	63	1	"L3"	0	"M"	"B"	"L"
"187"	66	7	"L3"	0	"M"	"B"	"L"
"188"	66	7	"L3"	0	"M"	"B"	"L"
"189"	66	7	"L3"	0	"M"	"B"	"L"
"190"	66	7	"L3"	0	"M"	"B"	"L"
"191"	66	7	"L3"	0	"M"	"B"	"L"
"192"	66	7	"L3"	0	"M"	"B"	"L"
"193"	66	7	"L3"	0	"M"	"B"	"L"
"194"	68	1	"L3"	0	"M"	"B"	"L"
"195"	70	3	"L3"	0	"M"	"B"	"L"
"196"	70	3	"L3"	0	"M"	"B"	"L"
"197"	70	3	"L3"	0	"M"	"B"	"L"
"198"	73	16	"L3"	0	"M"	"B"	"L"
"199"	73	16	"L3"	0	"M"	"B"	"L"
"200"	73	16	"L3"	0	"M"	"B"	"L"
"201"	73	16	"L3"	0	"M"	"B"	"L"
"202"	73	16	"L3"	0	"M"	"B"	"L"
"203"	73	16	"L3"	0	"M"	"B"	"L"
"204"	73	16	"L3"	0	"M"	"B"	"L"
"205"	73	16	"L3"	0	"M"	"B"	"L"
"206"	73	16	"L3"	0	"M"	"B"	"L"
"207"	73	16	"L3"	0	"M"	"B"	"L"
"208"	73	16	"L3"	0	"M"	"B"	"L"
"209"	73	16	"L3"	0	"M"	"B"	"L"
"210"	73	16	"L3"	0	"M"	"B"	"L"
"211"	73	16	"L3"	0	"M"	"B"	"L"
"212"	73	16	"L3"	0	"M"	"B"	"L"
"213"	73	16	"L3"	0	"M"	"B"	"L"
"214"	75	1	"L3"	0	"M"	"B"	"L"
"215"	77	3	"L3"	0	"M"	"B"	"L"
"216"	77	3	"L3"	0	"M"	"B"	"L"
"217"	77	3	"L3"	0	"M"	"B"	"L"
"218"	80	5	"L3"	0	"M"	"B"	"L"
"219"	80	5	"L3"	0	"M"	"B"	"L"
"220"	80	5	"L3"	0	"M"	"B"	"L"
"221"	80	5	"L3"	0	"M"	"B"	"L"
"222"	80	5	"L3"	0	"M"	"B"	"L"
"223"	82	2	"L3"	0	"M"	"B"	"L"
"224"	82	2	"L3"	0	"M"	"B"	"L"
"225"	84	1	"L3"	0	"M"	"B"	"L"
"226"	5	1	"L3"	0	"M"	"B"	"L"
"227"	7	4	"L3"	0	"M"	"B"	"L"
"228"	7	4	"L3"	0	"M"	"B"	"L"
