day	event	condition	censor
24	2	S3Dmale	0
26	2	S3Dmale	0
26	2	S3Dmale	0
28	2	S3Dmale	0
28	2	S3Dmale	0
31	2	S3Dmale	0
31	2	S3Dmale	0
33	2	S3Dmale	0
33	2	S3Dmale	0
35	1	S3Dmale	0
38	4	S3Dmale	0
38	4	S3Dmale	0
38	4	S3Dmale	0
38	4	S3Dmale	0
40	2	S3Dmale	0
40	2	S3Dmale	0
45	6	S3Dmale	0
45	6	S3Dmale	0
45	6	S3Dmale	0
45	6	S3Dmale	0
45	6	S3Dmale	0
45	6	S3Dmale	0
47	2	S3Dmale	0
47	2	S3Dmale	0
49	2	S3Dmale	0
49	2	S3Dmale	0
52	7	S3Dmale	0
52	7	S3Dmale	0
52	7	S3Dmale	0
52	7	S3Dmale	0
52	7	S3Dmale	0
52	7	S3Dmale	0
52	7	S3Dmale	0
56	2	S3Dmale	0
56	2	S3Dmale	0
59	5	S3Dmale	0
59	5	S3Dmale	0
59	5	S3Dmale	0
59	5	S3Dmale	0
59	5	S3Dmale	0
61	2	S3Dmale	0
61	2	S3Dmale	0
63	1	S3Dmale	0
68	1	S3Dmale	0
70	1	S3Dmale	0
73	2	S3Dmale	0
73	2	S3Dmale	0
75	2	S3Dmale	0
75	2	S3Dmale	0
77	2	S3Dmale	0
77	2	S3Dmale	0
80	2	S3Dmale	0
80	2	S3Dmale	0
84	1	S3Dmale	0
91	1	S3Dmale	0
94	1	S3Dmale	0
5	6	S3Dmale	0
5	6	S3Dmale	0
5	6	S3Dmale	0
5	6	S3Dmale	0
5	6	S3Dmale	0
5	6	S3Dmale	0
5	3	S3Dmale	0
5	3	S3Dmale	0
5	3	S3Dmale	0
14	1	S3Dmale	0
17	1	S3Dmale	0
19	2	S3Dmale	0
19	2	S3Dmale	0
21	3	S3Dmale	0
21	3	S3Dmale	0
21	3	S3Dmale	0
24	1	S3Dmale	0
26	1	S3Dmale	0
28	1	S3Dmale	0
31	1	S3Dmale	0
