Line,Vial,eggsin,male1 ,female1,male2,female2,male3,female3,male4,female4,male5,female5,Total,propsurv,males,females,propmale,propfemale,propexpsurvmale,propexpsurvfem,allele
19,1,50,17,9,6,1,0,0,0,0,0,0,33,0.66,23,10,0.696969697,0.303030303,0.92,0.4,S
19,2,50,7,11,13,7,1,0,0,0,0,0,39,0.78,21,18,0.538461538,0.461538462,0.84,0.72,S
19,3,50,7,17,6,6,0,1,0,0,0,0,37,0.74,13,24,0.351351351,0.648648649,0.52,0.96,S
19,4,50,4,11,8,5,1,1,0,0,0,0,30,0.6,13,17,0.433333333,0.566666667,0.52,0.68,S
19,5,50,10,18,2,1,0,0,0,0,0,0,31,0.62,12,19,0.387096774,0.612903226,0.48,0.76,S
19,6,50,0,0,0,1,10,5,2,5,0,0,23,0.46,12,11,0.52173913,0.47826087,0.48,0.44,S
19,7,50,0,1,3,7,7,2,0,0,0,0,20,0.4,10,10,0.5,0.5,0.4,0.4,S
19,8,50,6,11,7,3,0,0,0,0,0,0,27,0.54,13,14,0.481481481,0.518518519,0.52,0.56,S
19,9,50,3,8,7,7,1,0,0,0,0,0,26,0.52,11,15,0.423076923,0.576923077,0.44,0.6,S
19,10,50,12,13,8,3,0,0,0,0,0,0,36,0.72,20,16,0.555555556,0.444444444,0.8,0.64,S
19,11,50,11,12,2,0,1,0,0,0,0,0,26,0.52,14,12,0.538461538,0.461538462,0.56,0.48,S
19,12,50,3,13,10,6,2,0,0,0,0,0,34,0.68,15,19,0.441176471,0.558823529,0.6,0.76,S
19,13,50,11,12,7,2,0,0,0,0,0,0,32,0.64,18,14,0.5625,0.4375,0.72,0.56,S
19,14,50,5,20,5,5,0,0,1,0,0,0,36,0.72,11,25,0.305555556,0.694444444,0.44,1,S
19,15,50,7,12,8,4,0,1,0,0,0,0,32,0.64,15,17,0.46875,0.53125,0.6,0.68,S
19,16,50,10,11,9,5,0,0,0,0,0,0,35,0.7,19,16,0.542857143,0.457142857,0.76,0.64,S
19,17,50,2,4,7,15,1,1,0,0,0,0,30,0.6,10,20,0.333333333,0.666666667,0.4,0.8,S
19,18,50,12,11,3,0,0,0,0,0,0,0,26,0.52,15,11,0.576923077,0.423076923,0.6,0.44,S
